matched_virus,original_assay,assay_clean,host_species,host_genus,country,n_assayed,n_positive,Author,Title,Publication Title,DOI,Publication Year
Mammarenavirus lassaense,NA,Serology,Praomys daltoni,Praomys,Nigeria,435,35,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
Mammarenavirus lassaense,NA,Serology,Rattus rattus,Rattus,Nigeria,17,1,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
Mammarenavirus lassaense,NA,Serology,NA,Mastomys,Guinea,60,7,"Fair, Joseph; Jentes, Emily; Inapogui, Alphonse; Kourouma, Kerfella; Goba, Agustine; Bah, Alpha; Tounkara, Michel; Coulibaly, Mamadi; Garry, Robert F.; Bausch, Daniel G.",Lassa virus-infected rodents in refugee camps in Guinea: A looming threat to public health in a politically unstable region,VECTOR-BORNE AND ZOONOTIC DISEASES,10.1089/vbz.2006.0581,2007
Mammarenavirus lassaense,NA,PCR,Lophuromys sikapusi,Lophuromys,Guinea,37,7,"Fichet-Calvet, Elisabeth; Lecompte, Emilie; Veyrunes, Frederic; Barriere, Patrick; Nicolass, Violaine; Koulemou, Kekoura","Diversity and dynamics in a community of small mammals in coastal Guinea, West Africa",BELGIAN JOURNAL OF ZOOLOGY,NA,2009
Mammarenavirus lassaense,NA,PCR,Mastomys erythroleucus,Mastomys,Guinea,134,29,"Fichet-Calvet, Elisabeth; Lecompte, Emilie; Veyrunes, Frederic; Barriere, Patrick; Nicolass, Violaine; Koulemou, Kekoura","Diversity and dynamics in a community of small mammals in coastal Guinea, West Africa",BELGIAN JOURNAL OF ZOOLOGY,NA,2009
Mammarenavirus lassaense,NA,PCR,Praomys rostratus,Praomys,Guinea,28,6,"Fichet-Calvet, Elisabeth; Lecompte, Emilie; Veyrunes, Frederic; Barriere, Patrick; Nicolass, Violaine; Koulemou, Kekoura","Diversity and dynamics in a community of small mammals in coastal Guinea, West Africa",BELGIAN JOURNAL OF ZOOLOGY,NA,2009
Mammarenavirus lassaense,NA,PCR,Mastomys natalensis,Mastomys,Guinea,592,80,"Fichet-Calvet, Elisabeth; Lecompte, Emilie; Koivogui, Lamine; Daffis, Sttphane; Ter Meulen, Jan","Reproductive characteristics of Mastomys natalensis and Lassa virus prevalence in Guinea, West Africa",VECTOR-BORNE AND ZOONOTIC DISEASES,10.1089/vbz.2007.0118,2008
Mammarenavirus lassaense,NA,Serology,NA,Mastomys,Guinea,956,96,"Demby, A. H.; Inapogui, A.; Kargbo, K.; Koninga, J.; Kourouma, K.; Kanu, J.; Coulibaly, M.; Wagoner, K. D.; Ksiazek, T. G.; Peters, C. J.; Rollin, P. E.; Bausch, D. G.",Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",10.1089/15303660160025912,2001
Mammarenavirus lassaense,NA,PCR,Mastomys erythroleucus,Mastomys,Nigeria,73,11,"Adesina, Adetunji Samuel and Oyeyiola, Akinlabi and Obadare, Adeoba and Igbokwe, Joseph and Abejegah, Chukwuyem and Akhilomen, Patience and Bangura, Umaru and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others","Circulation of Lassa virus across the endemic Edo-Ondo axis, Nigeria, with cross-species transmission between multimammate mice",Vector borne and zoonotic diseases,10.1089/vbz.2006.0614,2023
Mammarenavirus lassaense,NA,PCR,Mastomys natalensis,Mastomys,Nigeria,315,87,"Adesina, Adetunji Samuel and Oyeyiola, Akinlabi and Obadare, Adeoba and Igbokwe, Joseph and Abejegah, Chukwuyem and Akhilomen, Patience and Bangura, Umaru and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others","Circulation of Lassa virus across the endemic Edo-Ondo axis, Nigeria, with cross-species transmission between multimammate mice",Vector borne and zoonotic diseases,10.1089/vbz.2006.0614,2023
Mammarenavirus lassaense,NA,PCR,Mastomys natalensis,Mastomys,Guinea,601,80,"Fichet-Calvet E, Lecompte E, Koivogui L, Soropogui B, Doré A, Kourouma F, et al.","Fluctuation of abundance and Lassa virus prevalence in Mastomys natalensis in Guinea, West Africa.",PNAS,10.1073/pnas.1807106115,2007
Mammarenavirus lassaense,NA,Serology,Lemniscomys striatus,Lemniscomys,Guinea,25,4,"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S.",Lassa serology in natural populations of rodents and horizontal transmission.,NA,https://zenodo.org/records/8177974,2014
Mammarenavirus lassaense,NA,Serology,Mastomys erythroleucus,Mastomys,Guinea,215,7,"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S.",Lassa serology in natural populations of rodents and horizontal transmission.,NA,https://zenodo.org/records/8177974,2014
Mammarenavirus lassaense,NA,Serology,Mastomys natalensis,Mastomys,Guinea,429,109,"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S.",Lassa serology in natural populations of rodents and horizontal transmission.,NA,https://zenodo.org/records/8177974,2014
Mammarenavirus lassaense,NA,Serology,Mus minutoides,Mus,Guinea,22,3,"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S.",Lassa serology in natural populations of rodents and horizontal transmission.,NA,https://zenodo.org/records/8177974,2014
Mammarenavirus lassaense,NA,Serology,Praomys daltoni,Praomys,Guinea,67,4,"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S.",Lassa serology in natural populations of rodents and horizontal transmission.,NA,https://zenodo.org/records/8177974,2014
Mammarenavirus lassaense,NA,Serology,Praomys rostratus,Praomys,Guinea,32,2,"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S.",Lassa serology in natural populations of rodents and horizontal transmission.,NA,https://zenodo.org/records/8177974,2014
Mammarenavirus lassaense,NA,PCR,Mastomys natalensis,Mastomys,Guinea,132,132,"Fichet-Calvet E, Ölschläger S, Strecker T, Koivogui L, Becker-Ziaja B, Camara AB, et al.",Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,NA,NA,2016
Mammarenavirus lassaense,NA,PCR,Hylomyscus pamfi,Hylomyscus,Nigeria,12,5,"Olayemi, Ayodeji; Cadar, Daniel; Magassouba, N'Faly; Obadare, Adeoba; Kourouma, Fode; Oyeyiola, Akinlabi; Fasogbon, Samuel; Igbokwe, Joseph; Rieger, Toni; Bockholt, Sabrina; Jerome, Hanna; Schmidt-Chanasit, Jonas; Garigliany, Mutien; Lorenzen, Stephan; Igbahenah, Felix; Fichet, Jean-Nicolas; Ortsega, Daniel; Omilabu, Sunday; Guenther, Stephan; Fichet-Calvet, Elisabeth",New Hosts of The Lassa Virus,SCIENTIFIC REPORTS,10.1038/srep25280,2016
Mammarenavirus lassaense,NA,PCR,Mastomys erythroleucus,Mastomys,Guinea,16,6,"Olayemi, Ayodeji; Cadar, Daniel; Magassouba, N'Faly; Obadare, Adeoba; Kourouma, Fode; Oyeyiola, Akinlabi; Fasogbon, Samuel; Igbokwe, Joseph; Rieger, Toni; Bockholt, Sabrina; Jerome, Hanna; Schmidt-Chanasit, Jonas; Garigliany, Mutien; Lorenzen, Stephan; Igbahenah, Felix; Fichet, Jean-Nicolas; Ortsega, Daniel; Omilabu, Sunday; Guenther, Stephan; Fichet-Calvet, Elisabeth",New Hosts of The Lassa Virus,SCIENTIFIC REPORTS,10.1038/srep25280,2016
Mammarenavirus lassaense,NA,PCR,Mastomys erythroleucus,Mastomys,Nigeria,49,3,"Olayemi, Ayodeji; Cadar, Daniel; Magassouba, N'Faly; Obadare, Adeoba; Kourouma, Fode; Oyeyiola, Akinlabi; Fasogbon, Samuel; Igbokwe, Joseph; Rieger, Toni; Bockholt, Sabrina; Jerome, Hanna; Schmidt-Chanasit, Jonas; Garigliany, Mutien; Lorenzen, Stephan; Igbahenah, Felix; Fichet, Jean-Nicolas; Ortsega, Daniel; Omilabu, Sunday; Guenther, Stephan; Fichet-Calvet, Elisabeth",New Hosts of The Lassa Virus,SCIENTIFIC REPORTS,10.1038/srep25280,2016
