rodent_uid,trap_uid,clean_names,genus,sub_family,family,sex,age_group,weight,head_body,cut_tail,hind_foot,ear,length_skull,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,notes,all_samples,source_data,village,visit,trap_night,grid_number,trap_number
6_LAL_008,lalehun_6_2_7_253,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,17,90,no,17,15,22,NA,NA,yes,yes,4,0,NA,yes,ODK,lalehun,6,2,7,253
6_LAL_005,lalehun_6_2_2_82,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,69,130,no,20,15,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,6,2,2,82
6_LAL_001,lalehun_6_1_5_212,mus_setulosus,mus,murinae,muridae,female,juvenile,7,60,no,15,10,19,NA,NA,no,no,NA,0,NA,no,ODK,lalehun,6,1,5,212
5_LAM_020,lambayama_5_3_7_293,mus_musculus,mus,murinae,muridae,female,adult,18,87,no,16,15,20,NA,NA,yes,yes,4,5,NA,no,ODK,lambayama,5,3,7,293
5_LAM_019,lambayama_5_3_7_292,mus_musculus,mus,murinae,muridae,male,adult,11,77,no,16,13,19,external,yes,NA,NA,NA,NA,NA,no,ODK,lambayama,5,3,7,292
5_LAM_015,lambayama_5_2_7_281,mus_musculus,mus,murinae,muridae,male,adult,24,85,no,18,17,25,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,2,7,281
5_LAM_014,lambayama_5_2_7_272,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,44,133,no,23,13,41,internal,yes,NA,NA,NA,NA,NA,no,ODK,lambayama,5,2,7,272
5_LAM_018,lambayama_5_3_7_280,mus_musculus,mus,murinae,muridae,male,adult,18,82,no,17,15,20,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,3,7,280
5_LAM_013,lambayama_5_2_7_271,mus_musculus,mus,murinae,muridae,male,adult,13,75,no,19,16,24,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,2,7,271
5_LAM_012,lambayama_5_2_7_267,mus_musculus,mus,murinae,muridae,male,adult,9,73,no,17,14,21,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,2,7,267
5_LAM_017,lambayama_5_3_7_279,mus_musculus,mus,murinae,muridae,male,adult,14,84,no,17,15,18,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,3,7,279
5_LAM_011,lambayama_5_2_7_259,mus_musculus,mus,murinae,muridae,female,adult,13,81,no,21,15,23,NA,NA,yes,yes,3,0,NA,yes,ODK,lambayama,5,2,7,259
5_LAM_016,lambayama_5_3_1_41,mastomys_natalensis,mastomys,murinae,muridae,female,adult,57,135,no,25,18,29,NA,NA,yes,yes,9,0,NA,yes,ODK,lambayama,5,3,1,41
5_LAM_010,lambayama_5_2_7_255,mus_musculus,mus,murinae,muridae,female,adult,12,70,no,18,15,22,NA,NA,yes,yes,3,0,NA,yes,ODK,lambayama,5,2,7,255
5_LAM_009,lambayama_5_2_7_252,mus_musculus,mus,murinae,muridae,male,adult,13,77,no,17,14,19,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,2,7,252
5_LAM_008,lambayama_5_2_7_249,mus_musculus,mus,murinae,muridae,female,adult,12,79,no,17,15,22,NA,NA,yes,yes,3,0,NA,yes,ODK,lambayama,5,2,7,249
5_LAM_007,lambayama_5_2_7_248,mus_musculus,mus,murinae,muridae,female,adult,14,73,no,18,15,25,NA,NA,yes,yes,3,4,NA,yes,ODK,lambayama,5,2,7,248
5_LAM_006,lambayama_5_2_7_246,mus_musculus,mus,murinae,muridae,male,adult,10,72,no,19,15,23,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,2,7,246
